ADM3_EN,ADM3_FR,ADM3_PCODE,ADM2_PCODE,DATE,VALIDON
,Abong-Mbang,CM003002001,CM003002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Afanloum,CM002005001,CM002005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ako,CM007003001,CM007003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Akoeman,CM002010001,CM002010,2018-12-17 00:00:00,2019-01-04 00:00:00
,Akom 2,CM009003001,CM009003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Akono,CM002006001,CM002006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Akonolinga,CM002009001,CM002009,2018-12-17 00:00:00,2019-01-04 00:00:00
,Akwaya,CM010004001,CM010004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Alou,CM010003001,CM010003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ambam,CM009004001,CM009004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Assamba,CM002005002,CM002005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Awae,CM002005003,CM002005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Ayos,CM002009002,CM002009,2018-12-17 00:00:00,2019-01-04 00:00:00
,Babadjou,CM008001001,CM008001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Babessi,CM007007001,CM007007,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bafang,CM008002001,CM008002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bafia,CM002003001,CM002003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bafoussam 1er,CM008006001,CM008006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bafoussam 2e,CM008006002,CM008006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bafoussam 3e,CM008006003,CM008006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bafut,CM007005001,CM007005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Baham,CM008003001,CM008003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bakou,CM008002002,CM008002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bali,CM007005002,CM007005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Balikumbat,CM007007002,CM007007,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bamenda 1st,CM007005003,CM007005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bamenda 2nd,CM007005004,CM007005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bamenda 3rd,CM007005005,CM007005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bamendjou,CM008003002,CM008003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bamusso,CM010006001,CM010006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bana,CM008002003,CM008002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bandja,CM008002004,CM008002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bandjoun ,CM008004003,CM008004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bangangte,CM008007001,CM008007,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bangem,CM010002001,CM010002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bangou,CM008003003,CM008003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bangourain,CM008008001,CM008008,2018-12-17 00:00:00,2019-01-04 00:00:00
,Banka,CM008002005,CM008002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bankim,CM001003001,CM001003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Banwa,CM008002006,CM008002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Banyo,CM001003002,CM001003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bare-Bakem,CM005001001,CM005002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bascheo,CM006001001,CM006001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bassamba,CM008007002,CM008007,2018-12-17 00:00:00,2019-01-04 00:00:00
,Batcham,CM008001002,CM008001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Batchenga,CM002002001,CM002002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Batibo,CM007006001,CM007006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Batie,CM008003004,CM008003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Batouri,CM003003001,CM003003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bayangam,CM008004001,CM008004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bazou,CM008007003,CM008007,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bebeng,CM003002002,CM003002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Beka,CM006002001,CM006002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Belabo,CM003004001,CM003004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Belel,CM001005001,CM001005,2018-12-17 00:00:00,2019-01-04 00:00:00
,Belo,CM007001001,CM007001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bengbis,CM009001001,CM009001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bertoua 1er,CM003004002,CM003004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bertoua 2e,CM003004003,CM003004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Betare-Oya,CM003004004,CM003004,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bibemi,CM006001002,CM006001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bibey,CM002001001,CM002001,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bikok,CM002006002,CM002006,2018-12-17 00:00:00,2019-01-04 00:00:00
,Bipindi,CM009003002,CM009003,2018-12-17 00:00:00,2019-01-04 00:00:00
,Biwong-Bane,CM009002001,CM009002,2018-12-17 00:00:00,2019-01-04 00:00:00
,Biwong-Bulu,CM009002002,CM009002,2018-12-17 00:00:00,2019-01-04 00:00:00
